Id,SalePrice
1461,91397.03125133358
1462,155168.0210073442
1463,149330.3037081421
1464,172013.18285550224
1465,210687.18701086508
1466,150488.05942448892
1467,158021.82106335508
1468,142217.91719721392
1469,177335.5101050324
1470,87341.38256763881
1471,167078.99453708564
1472,80425.48193516239
1473,72942.0416437775
1474,133605.64244384115
1475,95347.8690485203
1476,313629.7293547353
1477,248826.40303503873
1478,283156.1384757245
1479,277480.54222802236
1480,392937.1336010999
1481,294275.8444851397
1482,225701.74541493956
1483,156608.98217084992
1484,155150.28643438107
1485,168795.92771486897
1486,174995.56012950366
1487,290024.6998519892
1488,221978.60589145572
1489,163971.51801338798
1490,199693.02211373678
1491,179456.9427760339
1492,105154.71677141276
1493,162281.98721568592
1494,304729.67455296917
1495,289433.25427547016
1496,208040.60963216066
1497,156780.24415410715
1498,142616.06498304487
1499,147924.82796004965
1500,142054.6538959426
1501,191817.3607385683
1502,144139.27047962346
1503,217731.29762931404
1504,215731.62293667975
1505,197385.33239612688
1506,191173.0259468532
1507,224389.4310555724
1508,185043.94574111883
1509,150580.88139340852
1510,124019.28256021987
1511,123042.24586633767
1512,160611.72593083873
1513,129173.08357921802
1514,130514.44169216332
1515,185304.73252876327
1516,141122.36115430007
1517,151637.4146193338
1518,87906.43754056492
1519,191627.43797041077
1520,108809.68544840676
1521,104472.6016644749
1522,164541.15506096737
1523,78903.5563067648
1524,92531.92203031338
1525,85558.99415073532
1526,98892.90161187787
1527,86116.03622667362
1528,123691.9077843024
1529,117594.18630954708
1530,161504.42418708012
1531,121516.3170427467
1532,95377.084111075
1533,135207.29246387506
1534,103106.89549133173
1535,134819.14028383125
1536,91167.16845864232
1537,31474.298654508726
1538,158013.89188968576
1539,189434.56018675142
1540,105521.72021953287
1541,135879.10689211774
1542,119291.45904302972
1543,182085.49647227267
1544,86089.8693610508
1545,110762.96778293006
1546,113988.77276828306
1547,113660.67096081338
1548,110032.22468355414
1549,84370.45288401285
1550,115998.90159757211
1551,105012.3679573324
1552,119276.23136435286
1553,137792.68689995963
1554,102044.49454713213
1555,167015.0172383548
1556,66845.0505550772
1557,124366.47024447363
1558,83010.27982176644
1559,86373.2517391383
1560,103387.4873253222
1561,103768.34648586749
1562,100614.69490719176
1563,84919.52514176583
1564,125764.74458001897
1565,111164.23811958797
1566,208442.2991615589
1567,52854.24756795693
1568,212049.40309317855
1569,92228.71749951215
1570,117842.41512699661
1571,100239.48258923892
1572,109312.27564588192
1573,191388.67380894843
1574,92389.26081930431
1575,192492.36075183557
1576,214993.0374647642
1577,165651.3504442886
1578,151690.36403618692
1579,108645.79811129617
1580,177605.87225600253
1581,132104.50726537756
1582,112677.45252460855
1583,268073.5185639938
1584,197656.4949036272
1585,140836.50406362294
1586,33882.53422253526
1587,74322.1651745242
1588,111790.54451230692
1589,81039.04366181082
1590,102839.44910047975
1591,66862.34725703993
1592,105792.55937393059
1593,103719.97543684661
1594,80861.13358582767
1595,107513.49110646264
1596,205488.4135091427
1597,154130.96977574326
1598,193456.62730198717
1599,152310.1759293529
1600,141831.50824163062
